tv_ad_spend_usd,digital_ad_spend_usd,print_ad_spend_usd,radio_ad_spend_usd,product_category,season,promotion_budget_usd,sales_team_size,market_share_percent,competitor_activity,economic_conditions,distribution_coverage,product_launch_year,revenue_usd
30174.658618457226,78512.77685750835,22204.03345984713,5569.257952208628,Sports,Winter,7162.109984079834,,8.18844032156261,Low,Recession,Regional,2013.0,3927139.05179313
23846.150717423097,37556.93075147965,27213.275754051905,16568.0493638076,,Winter,18282.18882444912,37.0,8.352904127633767,High,Recession,International,2015.0,578992.9684897596
71086.23602655526,31497.16852965329,,933.5675515845605,Sports,,28872.24159785165,29.0,13.222153746348896,Low,Growth,International,2014.0,3507931.034815684
83343.95158768004,6443.920827829815,17680.08265384844,12818.011139597627,Electronics,Summer,6531.739909172207,12.0,13.32175980070232,Low,Growth,International,2014.0,
87617.67202163853,56962.42709905337,14807.826994807665,,Beauty,Spring,21727.156163308497,29.0,27.94653241934347,Low,Stable,International,2020.0,3807109.233596437
,31529.3218143883,27286.425332397386,18501.268018518447,Sports,Summer,20286.413789129183,19.0,1.806576706162974,Medium,Recession,National,2014.0,2345413.717650338
42867.21853085271,64534.25675120136,20612.020543325907,13152.958399841695,Sports,Winter,10825.546766159743,,7.563817082754385,High,,Regional,2021.0,4545431.430673103
6065.11102132267,59483.69097215487,24003.056655565542,892.1862884302648,Beauty,Summer,25683.78377650863,24.0,10.833986186339315,Low,Growth,National,2010.0,3079379.939212972
13858.37553636966,,,16317.21563069896,Sports,Winter,17004.637034684638,49.0,9.21241574846016,Low,Recession,,2020.0,688952.4374138315
51599.15204472469,32692.061511297423,4235.378740647056,18598.558413422023,Home Goods,Fall,32001.36737154896,43.0,19.657074746871494,High,Growth,Regional,2021.0,4838698.166601938
39389.23393237108,24962.384995473327,15452.562497794821,19456.270919432347,Home Goods,Fall,14816.788636382033,23.0,11.41134862269407,Low,Recession,National,2010.0,4938561.00007792
5116.284236177634,72427.66388755919,19162.63323999282,14239.249771346378,Beauty,Winter,25750.96369854791,39.0,22.318418320015546,High,Stable,National,2010.0,3845478.809188287
38955.51878910298,35108.7333920851,21342.32926809445,5673.762982402842,Beauty,Summer,,13.0,21.711904620948715,High,Growth,,2022.0,4612296.184484494
24698.10290307138,,11391.624643848585,3164.728823754903,Home Goods,Summer,26064.43211047246,44.0,19.59581000687041,High,Growth,National,2011.0,461110.3074616084
37158.7968855767,2780.541086673173,14264.883335964429,2056.7096845148412,Apparel,Spring,22579.775847488054,18.0,25.91299421709665,Medium,Stable,National,2013.0,1179216.1086711334
89230.9624645635,5144.041348372199,11605.087643945371,6433.068214226125,Home Goods,Winter,,29.0,18.513600357042517,Medium,Stable,National,2013.0,3980486.825491502
47268.848965871,76776.53456855254,22225.06435678621,18483.858359912025,Sports,Summer,38061.42693352429,39.0,29.700663534603528,Low,,National,2021.0,2175745.2260417864
66875.75694793655,61180.065730247414,22330.45161490249,,Beauty,Winter,30639.638612962077,22.0,3.7700761367591213,Medium,Growth,Regional,2021.0,4377084.189227518
14211.607043002856,55709.61278845168,13846.600213163696,12675.656015745337,Sports,Fall,8311.155908646117,43.0,,Medium,Stable,International,2016.0,2041389.5858632352
15369.452028904952,7233.347781280442,,8070.847996805143,Beauty,Summer,21831.62881394835,13.0,9.11221123297652,Medium,Stable,International,2013.0,2680041.847570145
78741.32439243786,10654.05954770956,11103.640207077704,3868.9610194843676,Beauty,Spring,8986.89408012045,25.0,19.590436188291687,Low,Stable,Regional,2019.0,4111320.7251324765
36563.96893754427,59429.15554229151,,13125.150609111677,Sports,Winter,42354.483258790024,37.0,28.029584487924094,,Recession,National,2020.0,588981.1667441328
42099.0882063868,19413.589679799068,3192.167178197702,14387.427045770692,Sports,Winter,26722.16884904981,40.0,15.319182445731075,Low,Stable,Regional,,3347151.5938217156
49498.46158454027,12512.048955075967,2945.821469576762,6017.582343066777,,Winter,15940.22376858158,44.0,12.26102241694665,High,Stable,Regional,2010.0,
99469.50940965491,47354.27353252962,,5911.618713010735,Sports,Winter,6693.483691939633,31.0,27.403720272214546,Low,Growth,International,2018.0,654065.6961589967
7682.218736576786,,22099.432253373576,14063.429125491642,Electronics,,26138.255401373804,30.0,21.88129196926934,Medium,Growth,International,2012.0,1575662.0694221514
99915.69117041818,69598.23877293279,9089.844556298025,12945.277363020894,Home Goods,Fall,4702.96644152548,32.0,6.036617258920463,Medium,Growth,National,2022.0,1462846.9104347555
29219.541192028137,4915.877851641171,2835.834463427845,19555.8850668385,Sports,Summer,49968.525234238856,44.0,27.92395202312015,Medium,Stable,International,2019.0,2955263.58979259
,66231.2012950813,6429.3924414877865,16791.09644412736,Electronics,Winter,42836.45957023522,39.0,22.096392432409374,High,Recession,National,2018.0,2351058.9079712867
,77587.76836522552,12799.594545634494,5015.906336417487,Electronics,Fall,31288.208336706437,19.0,18.111146771400218,Low,,International,2011.0,1084051.403340185
69031.9409870733,16789.65037028234,16597.834356157662,8573.097578513727,Electronics,,28542.65266101028,39.0,3.0967243135266824,Low,Stable,National,2019.0,2956100.9714621147
28132.491100142637,11571.949893447985,24952.67492989145,12652.526074809057,Apparel,Summer,23196.35686473273,36.0,19.700476218225912,Low,Growth,National,2011.0,
51567.66363831045,66301.28036344852,29575.81746261374,4043.495387945446,Apparel,Summer,31748.938844585373,49.0,23.451188694178523,Low,Growth,Regional,2016.0,1114855.461659768
6442.51363083539,17935.197987066313,15764.480334664806,17516.6263363102,Beauty,Winter,10919.015022462614,5.0,16.45770130546657,,Stable,National,2016.0,255389.284765094
18437.3180045783,,16259.793470625174,5122.5416985421225,Apparel,Spring,21244.535547745203,22.0,24.382078886100558,Low,Recession,International,2014.0,4731172.049690554
62014.84623436272,8082.633747907118,16773.928610998442,17508.925547640698,Sports,Winter,16594.630775307596,31.0,3.4528613986964265,Low,Recession,,2010.0,3117021.7021163045
72072.59025241026,54969.72301781944,24430.133274462303,3862.847630216191,Electronics,Winter,9039.751933117079,34.0,5.76943898374743,Low,Recession,National,2021.0,1390010.1413567504
81968.99087883983,,14342.97598115586,16943.43082360714,Apparel,Spring,14706.20480486104,21.0,4.136344210890547,Medium,Growth,National,2012.0,4533589.467306948
15799.690482862357,40091.380960423696,5965.974364014082,13870.63018448428,Sports,Winter,3069.432719705095,24.0,16.55003985426902,High,Growth,National,2016.0,
54438.95339173204,33230.65168813715,2436.65060233097,13439.375373563564,Beauty,Winter,22921.19063367546,15.0,26.539518306338422,,Recession,,2017.0,2159532.8877486424
57479.46793396322,35968.11968654913,7260.719388140316,10072.88388178407,Home Goods,Winter,27174.035458685987,32.0,7.255595331885133,High,Growth,Regional,2013.0,4870907.236344531
28232.757213551922,,10946.369712761609,4083.956154899125,Electronics,Winter,39370.69136700642,37.0,28.276753919803177,High,Growth,National,2018.0,2088656.2215969455
60692.25630196161,5308.158544745782,29319.54148830283,18592.2306551369,,Summer,29298.326735343642,43.0,4.360206358548123,High,Growth,National,2020.0,2333745.3071612166
98298.84215664577,10596.346708078234,10785.285277755806,10251.959454535174,Home Goods,Fall,34387.0838066717,47.0,17.98509890079239,Low,Growth,Regional,2022.0,3727990.0557230655
15876.603970187527,34179.24712633468,23678.021531704817,5247.263938300039,Sports,Summer,,6.0,6.871640166512471,Low,Recession,Regional,2016.0,2590872.459698659
44372.41679490452,60347.31499101739,3469.616250401109,17751.893117997373,Sports,Spring,48695.68879953654,19.0,22.999996529284797,Low,,National,2016.0,1763289.6530863615
8644.198497216079,66036.30030858138,29504.562876321845,11680.243136964576,Electronics,Fall,23232.997140617455,19.0,8.554869475246374,High,Growth,International,2013.0,2624888.119584863
13546.215908070644,17168.080815807803,5048.589255098669,2193.0727015390326,Home Goods,Summer,36764.91901522286,28.0,29.582607733745174,Low,Growth,International,2017.0,
89498.31794174797,73123.83315111895,9357.482978800386,11659.720341135013,Apparel,Spring,17984.728791830123,43.0,27.189911357112784,Low,Stable,National,,101089.76374688167
63842.83236067525,4352.944786803635,2945.836072781102,8722.73094375748,Home Goods,Fall,38305.80262650153,18.0,6.747707838276246,High,Recession,International,2022.0,2162721.64484652
28701.930046010624,,23806.265349732676,14290.261457722212,Apparel,Spring,40811.560105335535,17.0,29.358375219317786,High,Recession,National,2012.0,1185565.8832194079
45741.85784024324,79510.39304851112,22699.001892137545,11673.822168586612,Apparel,Fall,44087.55433276737,14.0,3.289439655254436,,Stable,Regional,2010.0,2658779.7932925797
59865.68526331443,11142.084962451589,29417.815768384586,3488.004076809219,Beauty,Fall,26616.70755664204,10.0,25.389745484687907,Medium,Recession,National,2018.0,4351492.29914383
74838.4795258013,16765.026165483403,2085.7658397465757,569.0083553741498,Home Goods,Winter,20344.819821724548,7.0,7.4265234284983555,Low,Recession,International,2012.0,4773282.245043539
97928.89734058532,78467.39600026837,6275.398948010292,14944.892672447364,Apparel,Spring,39613.07375600734,10.0,11.730041741801452,Medium,Stable,National,2010.0,
83611.77658990491,11873.794762433427,27497.832806080474,17060.201189512703,Beauty,Spring,9759.879058406223,45.0,19.12037549127795,High,Growth,International,2013.0,636985.5110151577
56015.99379697038,42572.38574643241,20666.257746360712,1059.1073042744274,Beauty,Summer,19071.373247622374,9.0,28.29765608757672,Medium,Growth,National,2018.0,4989554.96407735
62991.84923661679,38135.51799134792,11208.943666485804,10538.254451622455,Sports,Winter,33299.32139846193,8.0,8.411132996924312,High,Recession,Regional,2016.0,1543264.6107548529
,65719.18984269821,25618.865725235297,11924.662375452088,Apparel,Fall,5999.386356826025,46.0,,High,Recession,National,2022.0,3355937.362107473
26461.956541546064,20192.545140577124,9288.621012283249,19624.97763174672,Beauty,Spring,3806.3244554889407,17.0,15.026509771531522,High,Stable,Regional,2022.0,
59234.331436355096,32821.69104395487,9251.129715013605,4949.734245928989,Electronics,Summer,36819.213232354705,10.0,23.348132907209905,Medium,Growth,International,,1448847.5052473664
16183.975759939125,65817.9593170675,16821.495516096238,1902.6061454596008,Sports,Winter,45197.78049851918,39.0,29.673238842523816,High,Stable,National,2010.0,2236415.459286911
95084.74562853717,39618.983286457114,27115.953083720862,15473.209341661055,Beauty,Spring,45606.92072651915,18.0,28.460478974655935,Medium,Growth,Regional,2021.0,1362488.060302777
86576.74412029462,72959.50329103923,19197.707155223452,14651.093753412382,Sports,Fall,,9.0,11.342749211054844,High,Growth,Regional,2019.0,
93344.92599579431,31031.47980947368,23943.243693788707,7624.114651398599,Home Goods,Summer,17138.21925588577,19.0,11.51968807832298,High,Growth,National,2020.0,3850784.0987755815
11348.651910736633,30111.73990436514,25057.68629680506,6923.427999149182,Home Goods,Spring,26802.45898442441,37.0,3.9394440564638695,High,,National,2020.0,1660171.9009358708
89892.00292635075,22629.04931335664,28083.37583776255,16479.13050443935,Electronics,Spring,49075.81424139806,45.0,25.768122156001795,High,Growth,National,2010.0,3081520.750617326
11129.836802003321,51620.56747599174,9862.14600691111,18182.525576346943,Beauty,Fall,6397.455304137534,34.0,8.130714083282594,High,Growth,National,2015.0,
90590.05787184362,61233.29133811865,26269.718796100868,1965.3004452843568,Electronics,Summer,625.2222342327141,25.0,13.902366346325104,High,Growth,Regional,2020.0,1962945.3090972197
88074.48376651773,4942.548665952836,21713.347937639755,,Home Goods,Winter,20494.782647037955,14.0,19.712532465033267,Low,Recession,International,2015.0,1739495.848165771
54342.776864020285,45156.21399529593,26016.921356364426,14088.496720293815,Home Goods,Summer,9425.883427995896,41.0,,Medium,Stable,Regional,2014.0,
74993.84322751033,,28217.54715584481,7444.332402754665,Beauty,Spring,49152.6866745568,17.0,2.3759412155385853,Medium,Stable,National,2017.0,3650553.511411989
74360.36737936344,75865.52340489325,4635.200686857188,8803.729830049122,Apparel,Fall,41534.22116928199,44.0,16.54929297258165,High,Growth,International,2021.0,2622853.4147550967
58520.11488724956,32183.76109174326,9460.063499735788,11721.116600907195,Beauty,Winter,33821.45534535089,39.0,23.364470529151546,High,Recession,National,2015.0,702091.0546928492
75881.48624216641,2081.407669276612,17273.91619380026,,Sports,Summer,15196.859960594633,27.0,28.80220506550057,Medium,Recession,Regional,2014.0,4477911.418894778
62437.29493077878,50700.47579174445,10559.596595902996,16887.032664668535,Beauty,Spring,35452.3809468862,9.0,8.944228783529223,High,Stable,Regional,2018.0,2300082.8368666717
20146.281821928696,42589.65321603518,21569.75958795537,16191.238893898137,Apparel,Winter,30488.94109792746,43.0,8.858456575149411,Low,Recession,International,2011.0,849771.7335857449
25803.865171884874,30220.71835135203,11149.629599222262,,Apparel,Spring,35462.91024154613,29.0,26.25261709029022,Medium,Recession,National,2021.0,3123217.4941276107
15811.359158912643,40505.36592621116,,5755.424847897026,Sports,Summer,47540.135079291504,22.0,24.83373185839293,High,Growth,International,2016.0,897426.3016948033
9977.797956746395,4650.506623619046,26912.095763940684,13301.376126672958,Sports,Spring,44240.83140059122,30.0,1.8550842242530905,High,Growth,Regional,2019.0,3099983.3708464056
67252.65183906737,49550.20791237541,18086.881787936814,2261.095486305391,Beauty,Spring,39498.32564732471,9.0,26.811244324247983,Low,Stable,National,2013.0,2349591.006586593
28695.295885383068,37271.326044681125,21746.881507745522,19420.527411349245,Electronics,Fall,27933.36540542839,48.0,6.935517098494104,High,Stable,International,,673632.8320487473
83404.41237679213,33343.130117614885,11067.714814311967,15261.085204409686,Sports,Summer,34635.88319669772,41.0,13.29822495738892,High,Stable,National,2012.0,1291932.210304254
,40190.182295370665,,12776.812010284264,Electronics,Spring,19677.12465125746,45.0,8.928993135317054,Low,Recession,International,2010.0,1925669.1904597527
91341.07104575844,43021.238442806185,17745.693699752064,6491.23620383153,Apparel,Spring,30025.07432340264,7.0,25.363451474051935,High,Stable,International,2017.0,1588600.6388469324
33910.47160696333,11731.972083709714,2219.0040635220103,5849.087553083402,Electronics,Summer,30450.126575994564,43.0,28.733463330463223,Medium,Recession,Regional,2014.0,3218625.7040310237
20984.960109288113,75350.16373955499,,19003.153165338907,Home Goods,Spring,20031.48445995232,33.0,19.833184557242216,Medium,Growth,International,2022.0,1350859.5543197652
86132.1660369645,45619.4591679758,8913.758243705704,1694.5235938938997,Home Goods,Fall,43394.09223103969,43.0,2.253254775653471,Medium,Recession,Regional,2017.0,4727001.664915971
33250.079853685565,69698.61197086424,13858.397348444847,17362.75776264464,Home Goods,Fall,33313.88209366929,12.0,19.642000063038793,Medium,Recession,Regional,2021.0,2997077.5500992243
,73063.27613446077,29314.143508611276,17775.19285997015,Apparel,Spring,29108.073449938453,32.0,23.121804609665325,High,Recession,Regional,2018.0,4281042.340069527
12941.127322983044,39168.297697492075,6282.59899858793,7706.441343544441,Apparel,Fall,27684.8956874385,5.0,24.128251480625142,Low,Growth,,2011.0,2986426.482997297
50506.718145832994,72834.00052221346,19936.954966612255,3127.5105307752415,Beauty,Summer,,10.0,7.211116867212535,Low,Growth,,2017.0,1047843.7403691264
36669.910295797,,10561.780268475217,797.1125352942329,Apparel,Spring,36551.64029059019,5.0,27.005288984894523,Low,Recession,International,2010.0,2615639.9351002746
50276.91233190717,23357.274437491655,1627.0330836227363,1976.2819373272241,Beauty,Winter,2306.9504520504547,43.0,7.854672723574942,Medium,Growth,International,2010.0,4812808.326483035
28423.323973515784,15317.274026739162,3637.62033139984,2454.3980694476545,Sports,Spring,9434.356475682993,38.0,23.6416065958116,Medium,Stable,National,2016.0,1202535.6102962375
59279.75660369187,61459.89594965375,23758.336179517417,12801.347110177849,Sports,Winter,46959.92038544308,19.0,,Medium,Recession,National,2013.0,2929439.867178287
,19072.106263941212,8264.17028636744,6506.232599968598,Apparel,Winter,13053.914575193638,28.0,24.127924135878004,Medium,Growth,International,2018.0,1306804.3272867752
68704.18726182383,48712.19825176379,22748.444775579264,14927.098658247995,Electronics,Winter,1265.5795425885574,18.0,20.86318236308441,Low,Growth,National,,2557700.0285333367
6784.611890522936,31864.861943333894,23457.907604392003,17600.613684228614,Sports,Fall,48212.4338902534,48.0,25.1081695933018,Low,Stable,International,,1473873.6379156827
64551.544905092516,38559.76481005254,13407.643093458808,,Apparel,Winter,15039.208890628353,18.0,25.175696678167384,High,Growth,International,2020.0,1709738.4247594497
31652.358591855518,66685.0807409468,15365.154481869911,16584.565880936105,Electronics,Winter,39079.75935090442,31.0,12.87891574668741,High,Stable,Regional,2013.0,4833653.37466428
19203.132006998567,25911.24537567288,16975.0517908152,9597.991754909965,Electronics,Summer,26424.83149279124,15.0,8.640530922409475,Low,Recession,Regional,2015.0,2080618.4013401717
82942.87099207504,45298.29173644451,16944.602955591,11291.12936073975,Home Goods,Spring,49318.804288987885,30.0,20.239543696396783,Medium,Growth,Regional,2015.0,807165.3571459957
34098.429679771994,43698.4274662064,19696.824878313535,19091.071280713844,Beauty,Spring,16767.037254984196,45.0,22.444101200018736,Low,Stable,International,2010.0,146944.14175098203
,41318.64678132215,1248.9908387039586,4195.245551976159,Apparel,Fall,22301.115376054677,21.0,26.708220567106068,Low,Recession,National,2010.0,4394972.6058115335
88380.18871119815,56162.51801605463,23531.860070031016,17072.106950767633,Sports,Fall,37303.46156822767,10.0,21.051146400092236,Medium,Recession,Regional,2010.0,3432806.971229569
78962.6406352947,72906.31419183662,21717.491249160394,15881.847545096854,Beauty,Fall,31545.35566200374,22.0,21.27239443634312,Low,Recession,,2015.0,176004.02098390984
70672.81324433429,63327.53092216082,11320.78459579065,5279.887050720452,Home Goods,Summer,5623.807661283392,,2.9326277711364295,Medium,Stable,International,2017.0,2674951.2076705047
86668.47151054064,59346.22758721797,15096.174827737383,7769.964180504454,Sports,Summer,2650.9057134712134,,17.294262282360826,Low,Stable,Regional,2020.0,
74444.92738662321,26133.770312155695,28298.8893893337,,Electronics,Winter,14284.310714863685,49.0,2.385331216356989,Medium,,National,,3229970.6793248816
23970.69664187457,,11214.534845880444,16044.768044084416,Beauty,Winter,25180.53531241744,34.0,4.747739361862378,High,Recession,International,2011.0,4296146.428335579
10152.162962300477,15047.035864748306,14062.554622046999,14344.513200161213,Sports,Summer,14561.376616685833,,26.507869184880853,Low,Recession,Regional,2021.0,1295454.1660066936
17036.498353912142,63002.38166434644,12605.098043928121,8025.655155875341,Apparel,Summer,32650.192308432892,49.0,7.714050460743311,Medium,Recession,International,2014.0,345982.3963009715
49246.38270435932,36678.38922607586,6334.316099123226,2952.323942976116,Sports,Winter,21569.56933096219,6.0,28.289036390511654,High,Recession,International,,1001789.9182156939
22584.894491823678,53923.06178256421,10412.072427562915,17291.80528302865,Apparel,Fall,46350.50415631382,41.0,19.429004457828633,Medium,Growth,Regional,2015.0,2817235.318279518
17670.925688207586,40767.936649229676,10893.697319798632,628.6001324259121,Sports,Winter,,41.0,23.38050913886587,High,Recession,Regional,2020.0,2987241.0940293707
82626.67391791097,18967.676371384176,3215.180119647029,653.8248204570436,Apparel,Summer,31498.711650155914,10.0,29.920229907402483,High,Growth,International,2010.0,3554562.411608432
47009.34723666134,38995.88862443436,11822.548554307465,3369.2111989851223,Beauty,Spring,46523.886290173665,46.0,,High,Recession,Regional,2017.0,2481374.241429898
22223.6872291353,47326.88602102706,11605.592680984073,14643.371708030822,Home Goods,Fall,33518.67537981514,24.0,26.281811783605903,Low,Stable,Regional,2013.0,4212635.730391739
29037.232941901962,70478.92187692055,26346.636000189308,7091.113702365156,Apparel,Winter,13044.021145295714,17.0,2.5354994607439574,High,Stable,Regional,2020.0,2414297.2881096974
39398.24400872521,2821.370958275263,20979.92876019561,8450.682464577807,Beauty,Fall,,47.0,14.202365443477051,Low,Stable,Regional,2018.0,1282489.7972556248
44592.8279145709,39196.01766700373,6531.257540333164,2457.790137669339,Electronics,Fall,24433.16850633779,17.0,15.225925221884273,Medium,Recession,International,2021.0,4113775.6047830344
26037.819461571013,74406.00143431865,21920.951298989585,15914.751394460776,Electronics,Winter,15227.623631865605,40.0,13.091095314994698,Low,Growth,National,2013.0,4600320.96256345
64189.11101589128,38577.17194488751,,10992.237448610593,Home Goods,Winter,40456.63675233864,13.0,3.7284330850458933,Medium,Growth,Regional,2014.0,1456065.8962654602
